1551947700000,3866.08000000,3867.37000000,3863.50000000,3864.84000000,59.90048900,1551947999999,231566.10067959,422,26.65165000,103046.41369393,0
1551948000000,3864.84000000,3866.83000000,3863.26000000,3863.87000000,45.29001700,1551948299999,175031.25345107,427,17.63389200,68158.52948284,0
1551948300000,3863.87000000,3864.06000000,3859.04000000,3860.10000000,110.25970900,1551948599999,425849.69193541,741,26.35561500,101792.15384357,0
1551948600000,3860.48000000,3867.25000000,3859.00000000,3866.75000000,50.78583400,1551948899999,196174.57365070,572,26.31919500,101675.68254713,0
1551948900000,3866.75000000,3868.02000000,3863.98000000,3863.98000000,57.46581400,1551949199999,222158.29415346,472,31.89071500,123287.41710738,0
1551949200000,3864.91000000,3864.93000000,3853.00000000,3860.04000000,181.08210700,1551949499999,698427.59407435,1038,72.51136400,279782.10859500,0
1551949500000,3860.06000000,3864.37000000,3857.61000000,3860.38000000,103.95360900,1551949799999,401352.27076717,546,67.42112200,260295.43310325,0
1551949800000,3860.38000000,3861.27000000,3855.45000000,3856.38000000,77.80104500,1551950099999,300111.54576168,602,29.31204500,113088.16992923,0
1551950100000,3856.20000000,3861.40000000,3856.20000000,3859.09000000,61.87533900,1551950399999,238786.11945655,463,41.04284900,158393.03243986,0
1551950400000,3859.68000000,3861.60000000,3855.94000000,3857.23000000,48.86135800,1551950699999,188543.66915270,491,26.09363800,100697.50386659,0
1551950700000,3856.94000000,3857.95000000,3852.63000000,3854.87000000,102.98854000,1551950999999,397034.18833709,590,40.39263300,155710.21668103,0
1551951000000,3854.02000000,3856.00000000,3852.26000000,3855.29000000,93.66979600,1551951299999,361034.52794824,682,40.92125800,157745.42161327,0
1551951300000,3855.28000000,3860.11000000,3855.00000000,3859.70000000,94.78849900,1551951599999,365667.05496319,554,71.37570100,275335.58326401,0
1551951600000,3859.68000000,3863.00000000,3858.15000000,3860.86000000,49.71951700,1551951899999,191953.20050970,432,25.14485700,97074.68871174,0
1551951900000,3860.79000000,3864.35000000,3858.14000000,3858.51000000,57.01463300,1551952199999,220131.03563139,494,27.58218800,106501.35798176,0
1551952200000,3859.40000000,3860.08000000,3858.00000000,3858.14000000,37.74290100,1551952499999,145650.52936909,368,18.04338800,69634.07267217,0
1551952500000,3858.00000000,3858.50000000,3853.13000000,3856.40000000,62.36018100,1551952799999,240448.25258009,528,27.19130300,104845.05061623,0
1551952800000,3856.40000000,3858.54000000,3850.00000000,3850.13000000,129.50102900,1551953099999,498867.50019781,787,48.63182300,187392.86703842,0
1551953100000,3850.84000000,3862.00000000,3850.01000000,3857.16000000,177.03022900,1551953399999,682631.42569519,677,140.98371600,543696.57108080,0
1551953400000,3855.25000000,3858.00000000,3848.49000000,3851.72000000,193.11199200,1551953699999,743812.97682866,710,43.92183000,169197.75106964,0
1551953700000,3851.45000000,3852.34000000,3840.40000000,3848.43000000,266.04249400,1551953999999,1023430.12601539,1102,117.06325500,450327.56960914,0
1551954000000,3847.99000000,3853.30000000,3845.41000000,3851.27000000,124.64197700,1551954299999,479823.86774010,558,43.62536700,167977.51148552,0
1551954300000,3851.03000000,3852.00000000,3847.07000000,3849.31000000,76.63527500,1551954599999,295021.58900337,470,43.36911500,166964.51875851,0
1551954600000,3849.86000000,3856.99000000,3849.33000000,3855.03000000,81.44080100,1551954899999,313789.65358223,550,47.47717100,182941.19795123,0
1551954900000,3855.05000000,3857.89000000,3849.99000000,3850.02000000,123.67050400,1551955199999,476655.36215317,993,55.58754100,214254.64710822,0
1551955200000,3850.08000000,3851.97000000,3847.82000000,3851.70000000,81.19038000,1551955499999,312575.81535093,1023,41.70565200,160572.81895608,0
1551955500000,3851.70000000,3857.03000000,3850.80000000,3855.99000000,79.02073300,1551955799999,304576.53116495,564,45.96237400,177133.07178117,0
1551955800000,3855.99000000,3861.30000000,3855.81000000,3861.26000000,121.04287900,1551956099999,467024.54423841,543,72.74287200,280682.94060964,0
1551956100000,3861.26000000,3863.00000000,3857.00000000,3861.11000000,66.68357700,1551956399999,257432.58578881,565,38.66731000,149289.92856549,0
1551956400000,3860.15000000,3863.00000000,3857.54000000,3862.00000000,79.70279000,1551956699999,307756.35419296,488,48.71743200,188116.05596191,0
1551956700000,3862.00000000,3865.00000000,3860.30000000,3863.97000000,77.89231600,1551956999999,300938.04099161,585,34.96881600,135115.15938455,0
1551957000000,3863.95000000,3866.76000000,3863.14000000,3865.03000000,68.11710200,1551957299999,263248.38280696,610,34.84147400,134656.35555338,0
1551957300000,3865.17000000,3867.80000000,3864.40000000,3865.77000000,67.50999400,1551957599999,260983.38619340,547,31.21301900,120668.20297422,0
1551957600000,3867.30000000,3868.00000000,3865.23000000,3868.00000000,60.92282600,1551957899999,235565.19452302,500,31.24481100,120815.84396882,0
1551957900000,3868.00000000,3870.00000000,3867.04000000,3868.98000000,66.49315200,1551958199999,257213.51187978,552,32.22892400,124682.26422957,0
1551958200000,3868.97000000,3873.09000000,3867.00000000,3871.57000000,135.07342500,1551958499999,522621.50477159,665,59.66269300,230865.54487764,0
1551958500000,3870.56000000,3871.57000000,3867.00000000,3868.78000000,70.92161000,1551958799999,274414.40724058,567,45.00023100,174127.21222713,0
1551958800000,3867.98000000,3871.96000000,3867.14000000,3868.97000000,53.64230200,1551959099999,207554.51257014,511,26.43220400,102279.20653944,0
1551959100000,3868.32000000,3870.51000000,3866.30000000,3868.89000000,58.28548500,1551959399999,225470.43759962,507,26.80315700,103690.36826439,0
1551959400000,3868.86000000,3871.63000000,3867.54000000,3868.02000000,45.22911400,1551959699999,174989.09537844,397,31.06293400,120183.22432225,0
1551959700000,3868.03000000,3868.88000000,3866.00000000,3866.01000000,53.78677300,1551959999999,208013.48303681,496,30.08510500,116360.56069355,0
1551960000000,3866.01000000,3867.04000000,3862.50000000,3863.00000000,66.33060400,1551960299999,256337.90062205,510,28.21808600,109060.10634390,0
1551960300000,3863.00000000,3863.50000000,3857.32000000,3862.53000000,168.53157200,1551960599999,650629.42651302,662,63.33418800,244554.54828737,0
1551960600000,3862.54000000,3866.41000000,3862.54000000,3863.94000000,54.14102200,1551960899999,209233.69553336,486,27.01142000,104395.41757135,0
1551960900000,3864.43000000,3865.00000000,3863.23000000,3863.32000000,57.94521800,1551961199999,223917.63683523,343,35.56234100,137430.15613681,0
1551961200000,3863.31000000,3868.54000000,3862.47000000,3868.14000000,94.02553300,1551961499999,363490.36943353,468,74.98359800,289879.90682143,0
1551961500000,3868.02000000,3872.08000000,3867.22000000,3872.02000000,61.85066600,1551961799999,239348.79542109,488,41.02105300,158747.10999452,0
1551961800000,3870.43000000,3873.49000000,3870.30000000,3873.45000000,59.47661900,1551962099999,230300.27079882,451,35.00893700,135566.42016161,0
1551962100000,3873.31000000,3877.86000000,3870.70000000,3876.03000000,111.11682300,1551962399999,430474.99950499,746,51.85297400,200873.71074910,0
1551962400000,3874.57000000,3876.84000000,3871.43000000,3875.50000000,72.41901200,1551962699999,280523.73327751,591,29.63256800,114802.39366699,0
1551962700000,3875.20000000,3880.34000000,3873.78000000,3880.00000000,59.20551300,1551962999999,229604.25639463,584,28.80702800,111725.89738652,0
1551963000000,3880.34000000,3885.42000000,3876.60000000,3877.54000000,205.33096100,1551963299999,796958.56815892,949,86.39666100,335359.60098222,0
1551963300000,3876.62000000,3878.00000000,3870.94000000,3875.97000000,54.15473700,1551963599999,209778.07821697,498,33.33654300,129135.48136379,0
1551963600000,3875.50000000,3881.14000000,3875.00000000,3875.01000000,82.81266000,1551963899999,321157.25467127,667,28.08908500,108923.29816817,0
1551963900000,3875.01000000,3882.21000000,3873.55000000,3877.50000000,96.31792700,1551964199999,373547.10165560,703,49.12202700,190500.46133982,0
1551964200000,3877.48000000,3880.09000000,3873.68000000,3879.49000000,83.57191900,1551964499999,324004.48314709,549,54.99153900,213219.30371494,0
1551964500000,3879.49000000,3880.11000000,3877.27000000,3878.47000000,93.37944700,1551964799999,362223.87145443,607,37.69219600,146219.20815254,0
1551964800000,3878.48000000,3880.96000000,3875.00000000,3879.73000000,80.53918100,1551965099999,312294.53075291,508,57.40609000,222600.18684573,0
1551965100000,3879.79000000,3883.86000000,3875.13000000,3875.59000000,168.54831700,1551965399999,653852.27916817,728,100.80530800,391011.73942398,0
